,date,day,filename,flag,id,keywords,link,month,place,publisher,year
5639,2018/01/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-03T11:13:44+05:30->2070.txt,0,2070,[],http://timesofindia.indiatimes.com//city/guwahati/assamese-manipuri-first-ne-languages-to-feature-on-pmo-website/articleshow/62348125.cms,01,NA,TOI,2018
5640,2018/01/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-29T11:35:18+05:30->21089.txt,0,21089,[],http://timesofindia.indiatimes.com//entertainment/bengali/movies/news/supriya-devi-had-confidence-in-her-love-for-uttam-kumar-says-grandson/articleshow/62691102.cms,01,NA,TOI,2018
5641,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T07:48:59+05:30->22435.txt,0,22435,[],http://timesofindia.indiatimes.com//city/chandigarh/captain-amarinder-singh-transfers-bureaucrat-over-plpa-issue/articleshow/62718267.cms,01,chandigarh,TOI,2018
5642,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T10:48:29+05:30->22612.txt,0,22612,[],http://timesofindia.indiatimes.com//home/education/news/saviours-in-blue-with-an-initiative-to-help-the-poor/articleshow/62720172.cms,01,NA,TOI,2018
5643,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T00:38:15+05:30->848.txt,0,848,[],http://timesofindia.indiatimes.com//city/trichy/guest-faculty-falls-victim-to-college-admin-dept-tussle/articleshow/62330292.cms,01,trichy,TOI,2018
5644,2018/01/01,01,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-01T07:08:00+05:30->311.txt,0,311,[],http://timesofindia.indiatimes.com//city/chandigarh/bjp-plans-to-take-up-ward-delimitation-with-local-bodies-department/articleshow/62318230.cms,01,ludhiana,TOI,2018
5645,2018/01/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-03T01:37:00+05:30->1642.txt,0,1642,[],http://timesofindia.indiatimes.com//city/mumbai/protesters-block-eastern-express-highway-and-harbour-line-trains-cripple-mumbai/articleshow/62344281.cms,01,mumbai,TOI,2018
5646,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T07:11:00+05:30->21702.txt,0,21702,[],http://timesofindia.indiatimes.com//city/gurgaon/fog-and-feeble-winds-drive-up-pollution-levels-by-over-50/articleshow/62701968.cms,01,gurugram,TOI,2018
5647,2018/01/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-21T10:07:18+05:30->15218.txt,0,15218,[],http://timesofindia.indiatimes.com//city/chennai/eps-ops-dismiss-400-sasikala-loyalists-from-party-in-thanjavur/articleshow/62586018.cms,01,chennai,TOI,2018
5648,2018/01/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-28T11:00:53+05:30->20340.txt,0,20340,[],http://timesofindia.indiatimes.com//city/visakhapatnam/dump-yard-bio-mining-project-gains-momentum/articleshow/62676816.cms,01,visakhapatnam,TOI,2018
5649,2018/01/02,02,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-02T08:00:42+05:30->1170.txt,0,1170,[],http://timesofindia.indiatimes.com//city/chandigarh/martyrs-kin-await-memorials/articleshow/62332049.cms,01,gurdaspur,TOI,2018
5650,2018/01/03,03,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-03T01:00:00+05:30->1614.txt,0,1614,[],http://timesofindia.indiatimes.com//entertainment/events/lucknow/deepika-chikhalia-shoots-for-comeback-film-in-allahabad/articleshow/62338870.cms,01,NA,TOI,2018
5651,2018/01/21,21,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-21T06:38:34+05:30->15003.txt,0,15003,[],http://timesofindia.indiatimes.com//city/kolkata/book-fair-boost-for-salt-lake-infrastructure/articleshow/62587399.cms,01,kolkata,TOI,2018
5652,2018/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-31T08:19:55+05:30->22465.txt,0,22465,[],http://timesofindia.indiatimes.com//city/chandigarh/magisterial-probe-begins-into-gounder-encounter/articleshow/62718568.cms,01,bathinda,TOI,2018
5653,2018/01/30,30,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-01-30T08:12:58+05:30->21347.txt,0,21347,[],http://timesofindia.indiatimes.com//city/bhopal/guj-has-made-gir-lions-a-prestige-issue-mp/articleshow/62701469.cms,01,bhopal,TOI,2018
